Stock,Headline,Content,URL,Sentiment,Confidence
NVDA,Stocks Hold Key Level After Fed Chair Powell Cites 'Outside Force' As Risks Balance Out; Nvidia Falters As Tesla Recovers,"The Dow Jones rose and stayed higher after Fed Chair Powell's speech. Nvidia rose despite an earthquake that affected Taiwan Semiconductor.
Continue reading",https://finance.yahoo.com/m/7de957c4-6eb8-3af2-9943-87fbfab8bcf4/stocks-hold-key-level-after.html,1 star,0.3664931356906891
NVDA,"Nvidia, Google, Palantir And 6 IPO Stocks Navigate Wavy Market","As the market resists pressure, Nvidia, Google and six IPO Leaders navigate the turbulence and test breakouts and buy zones.
Continue reading",https://finance.yahoo.com/m/e789016b-18ca-34d5-b876-e8c657feaf98/nvidia%2C-google%2C-palantir-and.html,5 stars,0.3598511815071106
NVDA,Nvidia Partner Bets $3.9 Billion on the Midwests Chip-Making Potential,"SK Hynix is planning for a facility in West Lafayette, Ind., amid an uptick in Midwestern semiconductor projects.
Continue reading",https://finance.yahoo.com/m/1b1583db-b867-3378-8410-67e7b15f3032/nvidia-partner-bets-%243.9.html,4 stars,0.42848190665245056
NVDA,Stocks Pare Gains After Fed Powell Cites 'Outside Force' As Risks Balance Out; Nvidia Falters As Tesla Recovers,"The Dow Jones rose and stayed higher after Fed Chair Powell's speech. Nvidia rose despite an earthquake that affected Taiwan Semiconductor.
Continue reading",https://finance.yahoo.com/m/7de957c4-6eb8-3af2-9943-87fbfab8bcf4/stocks-pare-gains-after-fed.html,1 star,0.3664931356906891
NVDA,Nvidia supplier SK Hynix to invest $3.87 billion in US chip packaging plant,"SEOUL (Reuters) - SK Hynix, the world's second-largest memory chip maker, said on Wednesday it will invest around $3.87 billion to build an advanced packaging plant and research and development facility for AI products in the U.S. state of Indiana.
The new plant will include an advanced chip production line to mass-produce next-generation high bandwidth memory (HBM) chips, currently used in graphic processing units that train artificial intelligence systems, the Nvidia supplier said in a statement.
Mass production is planned to start in the second half of 2028. The new facility in West Lafayette, Indiana will also house a packaging R&D line.
The facility ""will help strengthen supply chain resilience"" for AI chips in the U.S., CEO Kwak Noh-Jung said.
The engineering talent pool provided by the region's Purdue University, infrastructure for chip manufacturing, and support from the state and local government were factors in the chipmaker's decision, it said.
SK pledged in 2022 to invest $15 billion in the semiconductor industry through R&D programs, materials, and the creation of an advanced packaging and testing facility in the U.S.
Last month it began mass production of the latest version of HBM chips, called HBM3E, with sources saying initial shipments are going to Nvidia.
SK Hynix has been the sole supplier of the version previously used - the HBM3 - to Nvidia, which has 80% of the market for AI chips.
(Reporting by Joyce Lee; Editing by Jan Harvey)",https://finance.yahoo.com/news/nvidia-supplier-sk-hynix-invest-185218965.html,2 stars,0.22050203382968903
NVDA,Nvidia supplier SK Hynix to invest $3.87 bln in US chip packaging plant,"SEOUL, April 3 (Reuters) - SK Hynix, the world's second-largest memory chip maker, said on Wednesday it will invest around $3.87 billion to build an advanced packaging plant and research and development facility for AI products in the U.S. state of Indiana.
The new plant will include an advanced chip production line to mass-produce next-generation high bandwidth memory (HBM) chips, currently used in graphic processing units that train artificial intelligence systems, the Nvidia supplier said in a statement.
Mass production is planned to start in the second half of 2028. The new facility in West Lafayette, Indiana will also house a packaging R&D line.
The facility ""will help strengthen supply chain resilience"" for AI chips in the U.S., CEO Kwak Noh-Jung said.
The engineering talent pool provided by the region's Purdue University, infrastructure for chip manufacturing, and support from the state and local government were factors in the chipmaker's decision, it said.
SK pledged in 2022 to invest $15 billion in the semiconductor industry through R&D programs, materials, and the creation of an advanced packaging and testing facility in the U.S.
Last month it began mass production of the latest version of HBM chips, called HBM3E, with sources saying initial shipments are going to Nvidia.
SK Hynix has been the sole supplier of the version previously used - the HBM3 - to Nvidia, which has 80% of the market for AI chips. (Reporting by Joyce Lee; Editing by Jan Harvey)",https://finance.yahoo.com/news/nvidia-supplier-sk-hynix-invest-185000756.html,1 star,0.29184916615486145
NVDA,$2.2 trillion Nvidia is colliding with Taiwans biggest earthquake in 25 years as its key chip supplier grapples with factory fallout,"The 7.4-magnitude earthquake that hit Taiwan Wednesday morning could rock AI darling Nvidia after its main chipmaker Taiwan Semiconductor Manufacturing Company (TSMC) temporarily halted production and evacuated its factories.
TSMC said it moved staff from some production centers after its science parks in Hsinchu, Longtan, Zhunan, and Taichung experienced earthquake shocks with a magnitude up to 5.0. Initial inspections of TSMC’s construction sites were normal, but it said a “small number” of tools were damaged in certain production areas that partially impacted operations. Fabrication plant tool recovery was at over 70% within 10 hours of the quake, and none of TSMC's critical tools were impacted, the company reported. The chip manufacturer’s local rival United Microelectronics Corporation (UMC) also took measures to evacuate certain facilities and halt some operations.
“TSMC’s safety systems are operating normally,” the company said in a statement to Fortune. “Preventative measures to ensure employee safety and well-being were initiated at that time according to procedure, and some fabs were evacuated. All personnel are safe and returned to their workplace shortly after the incident.”
UMC did not respond to Fortune’s request for comment. An Nvidia spokesperson told Fortune the company is monitoring the situation and ensuring employee safety, but has not released an official statement.
Nvidia is TSMC’s second-largest client, behind only Apple, and relies on the manufacturer to produce the semiconductor chips it designs for chip systems that power AI software and advanced graphics processing units. Last year, Nvidia paid the chipmaker $7.73 billion for its services, accounting for 11% of TSMC’s revenue, according to financial analyst Dan Nystedt. With a market capitalization of $2.2 trillion, Nvidia is the third-largest company in the U.S., effectively driving the AI revolution.
TSMC and UMC shares faltered about 1.3% and 1%, respectively, early Wednesday, while Nvidia shares have remained steady.
Story continues",https://finance.yahoo.com/news/2-2-trillion-nvidia-colliding-184556945.html,1 star,0.4744933545589447
NVDA,Intel Extends Losses as Analysts Say Chipmaker Faces 'More Headwinds Than Tailwinds',Content not available,https://www.investopedia.com/intel-extends-losses-as-analysts-say-chipmaker-faces-more-headwinds-than-tailwinds-8624141,1 star,0.6041345000267029
NVDA,"Magnificent Seven Stocks To Buy And Watch: Meta, Tesla Rise; Nvidia Falls","Magnificent Seven stocks, including AI leader Nvidia, are among the best stocks to buy and watch in today's stock market.
Continue reading",https://finance.yahoo.com/m/4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b/magnificent-seven-stocks-to.html,5 stars,0.9519750475883484
NVDA,"The good, bad, and ugly of Big Tech's first quarter","The tech industry had a wild first quarter. From Nvidia’s (NVDA) stock price continuing to rocket higher and higher to Google’s (GOOG, GOOGL) botched launch of its Gemini image generator and Apple’s antitrust battle, the first three months of the year were full of highs, lows, and, well, even lower lows.
The quarter was also full of surprises. Meta (META) announced its first dividend payment and a larger stock buyback program and Apple (AAPL), according to Bloomberg, decided to kill its long-gestating car program, putting an end to an effort that would have catapulted the company into the automotive industry.
Speaking of autos, EVs took it on the chin as sales fell off a cliff. And the Federal Trade Commission (FTC) and the European Union’s European Commission began sniffing around companies’ AI investments and more.
Oh, and did I mention Congress has revived efforts to ban TikTok in the US? Yes, it’s been a busy three months. And we still have nine more to go. These are the good, the bad, and the ugly stories of the first quarter of 2024.
The good
Let’s kick things off with the good news for the tech industry in the first quarter. First up is Nvidia, which continues to dominate the AI conversation. In February, the company announced another monster quarter, blowing past Wall Street’s expectations on revenue and earnings and beating out anticipated revenue for the current quarter.
Shares of Nvidia are up some 89% year to date and 226% over the last 12 months. And in March, the company debuted its new Blackwell AI processor architecture during its GTC conference, which felt more like a party than a developer event.
Also this quarter, Intel and the White House announced that the chipmaker is getting $8.5 billion in CHIPS Act funding to help build out its chip manufacturing and research and development facilities at plants across the US.
Nvidia's founder and CEO Jensen Huang speaks during the annual Nvidia GTC Artificial Intelligence Conference at SAP Center in San Jose, Calif., on March 18, 2024. (Josh Edelson/AFP via Getty Images) (JOSH EDELSON via Getty Images)
The cash from the CHIPS Act is meant to revitalize the US semiconductor industry, and with Intel starting to build chips for third-party companies like Microsoft, it should benefit handsomely from the funding.
Story continues",https://finance.yahoo.com/news/the-good-bad-and-ugly-of-big-techs-first-quarter-175716939.html,1 star,0.3759395480155945
